trigger,assigned_topic,post_text
update,Technical_Issues,Stick with Libero for live updates from the games tomorrow: Feyenoord vs Ajax and Bayern Munich vs Bayer Leverkusen
update,Technical_Issues,"@user it has been more than a week, and as usual, no updates about my nokia in it's 2nd long hibernation in ur service center :)"
update,Technical_Issues,Have you seen @user Friday Night Lights? Our service powered all of the live-streaming updates. Read more:
update,Technical_Issues,"So here I am, 00:30 in the morning sat looking for updates on the situation on Twitter and Madonna, material world comes on. Brilliant"
update,Technical_Issues,UPDATED!! Labor Day Weekend Schedule:  Foxboro: -Saturday: 8:30-9:45am Heated Flow with Kerry -Sunday: 10-11:15am...
update,Technical_Issues,Stick with Libero for live updates from the games tomorrow: Feyenoord vs Ajax and Bayern Munich vs Bayer Leverkusen
update,Technical_Issues,@user The tour dates got updated! Fox Theatre on the 24th or the 26th? I don\u2019t want to fuck this up.
update,Technical_Issues,"""BTN Football Practice Tour starts tomorrow.  Leg 1 - Wisconsin, Minnesota, Iowa and Nebraska.  I'll keep you updated.  Stay in touch."""
update,Technical_Issues,@user 9/9 account using your Blackberry device\u002c u may want to follow @user for updates and additional support from RIM.
update,Technical_Issues,Have you seen @user Friday Night Lights? Our service powered all of the live-streaming updates. Read more:
update,Technical_Issues,British Open updates: Amateur Paul Dunne among three leaders: Paul Dunne walked off the 18th green at St. Andrews on Sunday with a sh...
update,Technical_Issues,@user The tour dates got updated! Fox Theatre on the 24th or the 26th? I don\u2019t want to fuck this up.
crash,Technical_Issues,Sooooo.... we think you Whovians may have just crashed the People\u2019s Choice Awards site. - doctorwho: Or\u002c...
crash,Technical_Issues,Seems my new iPod doesn\u2019t like Kasabian very much- laptop has crashed every time it\u2019s got to syncing Empire. 10th time lucky...
crash,Technical_Issues,@user hark! What sound is that i hear? Could it be the distant crashing of Thunder to herald Thor's day'?(THURSDAY)
crash,Technical_Issues,Alabama State Troopers investigated seven fatal traffic crashes that resulted in nine deaths during the Labor Day holiday from Fri. to Mon.
crash,Technical_Issues,"@user   Republicans had their way,  stock market crashed they did not want to pay taxes they lost billions of dollars today!"""
screen,Technical_Issues,"""STRAIGHT OUTTA COMPTON: Come for the great first act, stay for Ice Cube writing FRIDAY on his laptop saying """"I'm killing this screenplay!"""
screen,Technical_Issues,@user I\u2019m blessed to have you on board! Thanks again. The film will be screening at Rich Mix in December\u002c I\u2019ll send you deets
screen,Technical_Issues,Jennifer Lawrence arriving back at LAX airport after being in the UK for the BFI screening of Serena (OCT 13TH)
screen,Technical_Issues,Don\u2019t forget that the exclusive screening of Skyfall takes place this Thursday at Cineplex Oasis Mall.Red Carpet...
screen,Technical_Issues,Jurassic Park is screening at the Actors Playhouse this weekend for free...
screen,Technical_Issues,"""Ooh national girlfriend day on Saturday and there's a fan screening of Paper Towns, what a lucky coincidence"""
screen,Technical_Issues,"""Moderate-heavier rain moving toward Racine...should be dry for the 6th Annual St. Patrick's Day Parade though, starts @ 12!  Bring sunscree"
screen,Technical_Issues,Come to The Baltimore Screenwriters Coffee Club - this Tuesday at the Creative Alliance!! It's always fun!!
screen,Technical_Issues,"""STRAIGHT OUTTA COMPTON: Come for the great first act, stay for Ice Cube writing FRIDAY on his laptop saying """"I'm killing this screenplay!"""
screen,Technical_Issues,Damn. If I was able to go today I could have watched the advanced screening of Terra Nova :(
screen,Technical_Issues,"""Moderate-heavier rain moving toward Racine...should be dry for the 6th Annual St. Patrick's Day Parade though, starts @ 12!  Bring sunscree"
screen,Technical_Issues,"Whoever took their baby to the 7pm Friday screening of Magic Mike XXL, you're my hero."
slow,Technical_Issues,why did i just hear some car driving slowly down 24th street blarring.............. Elvis Presley?
slow,Technical_Issues,My mom's over here tryna tell me that we're taking the CAHSEE tomorrow ._. Nigga it's only the second month of school.. #SlowYourRoll
slow,Technical_Issues,I may be in the slowest check out line ever. Lady gotta Honey Badger haircut and don\u2019t give a Damn.
slow,Technical_Issues,My newfound obsession with Fleetwood Mac is slowly approaching levels some may consider unhealthy
slow,Technical_Issues,My mom's over here tryna tell me that we're taking the CAHSEE tomorrow ._. Nigga it's only the second month of school.. #SlowYourRoll
slow,Technical_Issues,The World Bank cut its economic growth forecasts for the East Asia and Pacific region on Monday and said there was a risk the slowdow...
slow,Technical_Issues,My mom's over here tryna tell me that we're taking the CAHSEE tomorrow ._. Nigga it's only the second month of school.. #SlowYourRoll
bug,Technical_Issues,Iqaluit just wouldn\u2019t be Iqaluit without the drunks screaming at each other on a Saturday morning ... depressing buggers.
bug,Technical_Issues,My best guess is we should see MCPE0.12.0 submitted to IOS and Google by the end of week or into Monday if the devs have cleaned up the bugs
glitch,Technical_Issues,@user @user this is my 3rd Galaxy Note 4 and still glitchy I have to restart it about 3 times a day. What happened to quality?
ban,Account_Security,Curtis Painter was asked in interviews today if as the lead singer of Nirvana was getting the band back together.
ban,Account_Security,I know y'all band wagoning j Cole and Kendrick if you thought Black Friday was fire
ban,Account_Security,It's a Wednesday girls night out as '90's band Wilson Phillips fills the Winspear Opera House with their brand of top 40 joy at 8p....
ban,Account_Security,Looking forward to some March Fourth Marching Band madness tonight at @user
ban,Account_Security,The husband of the cunt who hates gay marriage says people who visit him should know how much he LOVES the 2nd Amendment. Dissonance much?
ban,Account_Security,David Miliband on #BBCQT! This is going to be a wild Thursday night!
ban,Account_Security,Fuck you\u002c band that covered it on Friday night\u002c and fuck you Ricky Martin for existing in the first place you big jerk.
ban,Account_Security,Kirko Bangz is the weakest nigga in the game i smoke weed with that nigga in 8th grade off  edgebrook i thought he was lame then n still do
ban,Account_Security,So it\u2019s the grunge night at blue room blackpool tomorrow night! Pearl jam\u002c Alice in chains and nirvana cover bands! 9pm.
ban,Account_Security,Will Fleeing Syrians Flood the Food banks or be served at The Ritz ?  David Cameron Merkel Duncan Smith Theresa May The Pope Sentimentalists
ban,Account_Security,"""may the gods speed him, RIP, Frank Gifford, New York Giants legend and husband to Kathy Lee Gifford, dead at 84"
ban,Account_Security,Since everybody telling me I can\u2019t be a urban model+walk the run ways in Paris! Then imma be the 1st to do it and prove em wrong
account,Account_Security,The Accounting Career Fair is this Friday! Be sure to engage with us by using #kubusfair--you might win an iPad mini!
account,Account_Security,"""CONCLUSION: AfME has rolled for 14 Aug 15; the leadership change in Boko Haram may """"bring them to the table"""" by some accounts. -JT"""
suspend,Account_Security,Niall faced serious bullying problems as a kid. He got suspended in the 3rd grade for swinging when somebody called him ugly
suspend,Account_Security,"Louisiana's Republican governor, Bobby Jindal, told Fox and Friends Friday morning that he's suspending his..."
suspend,Account_Security,@user because my old account got suspended and than May 5th came around and Zayn followed me. Now I have 4.2K so thank you
suspend,Account_Security,"Louisiana's Republican governor, Bobby Jindal, told Fox and Friends Friday morning that he's suspending his..."
suspend,Account_Security,Trey Burke suspended for the men's basketball team's exhibition game tomorrow:
suspend,Account_Security,"@user You say anything that may offend Muslims, you better watch out. You could be suspended, fired, or prosecuted."""
hack,Account_Security,bloodymary - hackers nirvana - smell like teen spirit butterfingers - nicotine feeder - 7 days in the sun smashing pumpkins - bullets with..
hack,Account_Security,Hackers have already defeated windows 8\u002c and ReadWrite Mobile ranked it 5th in interface design\u002c behind iOS and Android.
hack,Account_Security,Report: Russian hackers behind JPMorgan Chase attack - They may have struck about nine other financial inst...
hack,Account_Security,Dustin Johnson hacking about. It must be a Sunday.
hack,Account_Security,Report: Russian hackers behind JPMorgan Chase attack - They may have struck about nine other financial inst...
ui,Feature_Feedback,"""WLS Quick Look """" Caitlyn Jenner - 1st Public Reunion with Ex Wife #Selfie """""
ui,Feature_Feedback,Carlos Cuellar\u002c Louis Saha\u002c Adam Johnson AND Steven Fletcher? They may have had the best summer besides Chelsea.
ui,Feature_Feedback,My submission for the Dark Souls story contest.  You all may as well quit now i got this in the bag.
ui,Feature_Feedback,@user any odds on louis saha to score the winner in the derby on sunday? @user #backtohauntthescum #bagger
ui,Feature_Feedback,What's the requirement to work at Dunkin? Complete up to 8th grade? Reasons I hate going there. No people skills.
ui,Feature_Feedback,Why oh why does Toronto's Nuit Blanche have to be the same night as a wedding I have to attend?!? #snbTO
ui,Feature_Feedback,Hammond: we now have a balanced budget with an affordable equipment programme\u002c backed by what will still be the 4th largest defence bud
ui,Feature_Feedback,"""In today's Guide I faff around the set of TFI Friday, get drunk in its bar, chat with Chris Evans and accidentally sit on one of Little Mix"
ui,Feature_Feedback,Dinner with my dad. And tony Parker with a last second game winning shot. What a great night...just in time to be ruined by 300s tomorrow...
ui,Feature_Feedback,Quick reminder to folks agreeing with Jon. Ric Flair's 16th reign came via Kevin Nash handing him the title. He lost it about an hour later.
ui,Feature_Feedback,its been 9 months since Louis first hung out with briana in April so is there gonna be a baby soon?
ui,Feature_Feedback,Today was an awesome day but it is quite sad for me and my teammates :) . Qian \u002c Yue \u002c Ying and Jun :)
mode,Feature_Feedback,"""Kinda, yes! I went to see Equalizer tonite! I like it. It was very interesting modern day John Wayne movie...U may like it. @user"
mode,Feature_Feedback,"""Free to Watch!!! Justified: \""""Justified\"""" follows Marshal Raylan Givens\u002c a modern day 19th century-style lawman\u002c w..."
mode,Feature_Feedback,Omg Briana is amazing she is my new remodel!!! #SPNFamiIly #pascon #Saturday
mode,Feature_Feedback,"""While MSNBC host Chris Matthews may be over the moon about John Kasich, seeing him as the most """"moderate"""" and..."
mode,Feature_Feedback,Tony Blair sees his millions as modest: Yes he is such an honest geezer (#shouldbesecyioned tbh) ~ #FreakyBliars
mode,Feature_Feedback,"""If Muslims like Mehdi Hasan are extremists, who are the moderates? The implicit, insidious message: there aren't any"
mode,Feature_Feedback,"So iPhone 6th generation has 3 models: 6, 6 Plus and 6S. If I can wait it out I'll get the 7."
mode,Feature_Feedback,Dustin Johnson (PGA) 1st player in modern era to shoot 66 or better in opening round of the 3 majors in a single season.
mode,Feature_Feedback,Queer Eye for the Messiah Guy - Many modern Christians may be surprised to learn that in the time after the resurr...
mode,Feature_Feedback,@user moderate NAT and freezing issue. I'm used to the sweats!! I may buy a PS4 before release based on playability
mode,Feature_Feedback,RT @user I copped the New StraightStuntin today last issue..... Dayum!!! Detroit models you know who to come to when u want to b ...
mode,Feature_Feedback,"""Not gonna lie, kinda excited for #gfmodelsearch this Sat at Westfield Parramatta. Looking to be a killer day!!!!!! @user"
feature,Feature_Feedback,"""http://t.co/JJVDi4lW Wednesday's Featured Property of the Day is Knollwood Place Apartments, in..."
feature,Feature_Feedback,'This programme features indiscrete discussions about the royal family which may distress some viewers' Weirdest warning ever on Big Brother
feature,Feature_Feedback,"""Alabama : Trent Richardson on cover of SI:  The junior running back is featured on the August 22 issue, alongsid..."
feature,Feature_Feedback,Thursday night features with a bonus! Its the end of Copper River Salmon season so get it while you still can:...
feature,Feature_Feedback,'This programme features indiscrete discussions about the royal family which may distress some viewers' Weirdest warning ever on Big Brother
feature,Feature_Feedback,All the Stone Brewing verticals will be featured on tap tomorrow at @user
feature,Feature_Feedback,Kane will be featured in the ACHiever for the Nov/Dec issue. Photo courtesy @user  @user
feature,Feature_Feedback,"Google+ may have thrown in the social media towel, but it still has great features. Here's 6!  via @user"
feature,Feature_Feedback,I didn't exactly want to spend my Tuesday morning memorizing the geographical features in Saudi Arabia.. But okay
feature,Feature_Feedback,@user I really enjoyed the chicken liver parfait and the featured peperonata risotto (hope they\u2019re still serving it tomorrow)!
feature,Feature_Feedback,Andrew Luck featured in the latest Rolling Stone and on the cover!  NFL Kickoff is this Thursday!  Colts regular...
feature,Feature_Feedback,'This programme features indiscrete discussions about the royal family which may distress some viewers' Weirdest warning ever on Big Brother
design,Feature_Feedback,@user I can't wait for Tuesday's PS4 release! It feels like this was designed just for me. Will it support Vita remote play?
design,Feature_Feedback,"5 star SEO Author promotion page designed 2 help come up in the 1st page of search engine results, above Amazon &amp; SWs"
design,Feature_Feedback,"5 star SEO Author promotion page designed 2 help come up in the 1st page of search engine results, above Amazon &amp; SWs"
