text_id,post_text,actual,predicted,confidence
TXT_05970,@user you may not put bumpers stickers on a Bentley you also don't let a shit load a people drive it either if you get my drift,Neutral,Negative,0.816
TXT_02570,"""Rodgers just confirmed that both Allen and Can are fit, and will be back in the squad for Sunday's trip to QPR. #LFC""",Positive,Neutral,0.815
TXT_03497,Tomorrow's Times leads with government child abuse cover up. #newsnight go with Allegra Stratton's love letter to George Osborne,Neutral,Positive,0.814
TXT_08049,RT @user RT if you love the song called last night on earth by Green Day.#IndoWantsGreenDay,Neutral,Positive,0.814
TXT_07581,i wanna party with justin and get really drunk then fuck like theres no tomorrow,Positive,Negative,0.811
TXT_03286,"As things stand, the bottom 3 in Serie A are Bologna (18th), Empoli (19th); and Juventus (20th).",Negative,Neutral,0.81
TXT_05197,"""so @user her ex texted her &amp; spelled Nicki """"niki"""" that's his first problem. 2nd problem is he doesn't know I go to CA &amp; I always tweet?""",Neutral,Negative,0.81
TXT_06031,"As things stand, the bottom 3 in Serie A are Bologna (18th), Empoli (19th); and Juventus (20th).",Negative,Neutral,0.81
TXT_00863,"""First Kim Kardashian tries to break the Internet and now this!The 35-year-old reality star launched her emoji app, Kimoji, on Monday and""",Positive,Neutral,0.808
TXT_01111,"""First Kim Kardashian tries to break the Internet and now this!The 35-year-old reality star launched her emoji app, Kimoji, on Monday and""",Positive,Neutral,0.808
TXT_05933,I'll bet Scott Walker thinks about March 31st a lot.,Neutral,Negative,0.803
TXT_07790,National Hot Dog Day is Saturday #CapitalGMC #Saturday see you there.,Neutral,Positive,0.802
TXT_05821,Brian May confirms that Sacha Baron Cohen will play Freddie Mercury in a film about the late\u002c great Queen singer:,Positive,Neutral,0.801
TXT_05670,"""I'm just sat in my room listening to Big Brother downstairs. Not doing anything really, just listening to the telly. What is life.""",Neutral,Negative,0.798
TXT_05959,"""I'm just sat in my room listening to Big Brother downstairs. Not doing anything really, just listening to the telly. What is life.""",Neutral,Negative,0.798
TXT_03381,@user take a pic with @user on Sunday PLZZZZZZZZZ!!!!!! The gays will die and go to gay glitter heaven!!!!,Negative,Positive,0.798
TXT_06887,Northern elders ask Dasuki not to go to court so as not to reveal the activities of Boko Haram sponsors... Enjoy!!,Neutral,Negative,0.797
TXT_07645,"I don't go to the Stampede parade either, but, I still support it. Pride parade isn't a mandatory event.",Neutral,Negative,0.795
TXT_04460,"#parttimeproblems Call in tomorrow. Call in- No, goddammit I don't want to know who wrote Jurassic World, CALL IN TOMORROW. TOMO-",Neutral,Negative,0.792
TXT_06625,@user my liver needs a rest. I'm going to the Foo Fighters concert tomorrow. LOL,Neutral,Positive,0.788
TXT_08199,@user Tomorrow then announces that Alonso is going to Ferrari and Vettel signing? Greetings.,Positive,Neutral,0.787
TXT_05930,@user No way she makes it past the 1st rd. She has had a rough transition to MMA she is in no way near prepared for Rousey,Neutral,Negative,0.784
TXT_04189,The reason TFI isn't as good now is cos the 1st time around Chris Evans was on the verge of a breakdown and it was incredible watching him,Positive,Negative,0.784
TXT_01671,For some reason I always thought National Hot Dog Day was on the 4th of July. #learnsomethingneweveryday,Neutral,Positive,0.783
TXT_05740,"""Just out of curiosity, why doesn't Dean Ambrose have a match Sunday? And why did we get gypped out of seeing him wrestle tonight?""",Neutral,Negative,0.783
TXT_02992,@user @user @user Gay marriage is here today but don't think for a moment it can't disappear tomorrow.,Neutral,Negative,0.782
TXT_04708,"""Every Human being is born with innate tendencies towards Monotheism, later in life his parent may turn him to other religions beside Islam""",Neutral,Negative,0.782
TXT_02491,Frank ocean is like Monday and the weeknd is like Friday nobody wants Monday's. @user,Negative,Neutral,0.781
TXT_07070,"#day #God #known #Sunday #week Question and Answer #prayer #church""",Neutral,Positive,0.781
TXT_08324,horrible headache! day of packing ready for my trip to scotland tomorrow!,Negative,Positive,0.781
TXT_01479,"#day #God #known #Sunday #week Question and Answer #prayer #church""",Neutral,Positive,0.781
TXT_06166,D.J. King Suffered broken right hand in fight with Krys Barch Oct 24 2009 stlblues vs Dallas Stars; missed 3+ months,Negative,Neutral,0.774
TXT_05675,D.J. King Suffered broken right hand in fight with Krys Barch Oct 24 2009 stlblues vs Dallas Stars; missed 3+ months,Negative,Neutral,0.774
TXT_06083,D.J. King Suffered broken right hand in fight with Krys Barch Oct 24 2009 stlblues vs Dallas Stars; missed 3+ months,Negative,Neutral,0.774
TXT_04668,What is the point of this post the only thing Bobby Jindal Is guilty of is standing up for the 2nd Amendment,Neutral,Negative,0.772
TXT_07047,Hope that The 3rd Hospital don't end up like Fashion King. Interesting in the first few episodes. But after that =_____=,Positive,Negative,0.77
TXT_01805,@user Agree Ron ..... John Kasich will get the chat after its all said and Done ! Carly Ferino will get the chat frm the 1st debate,Positive,Neutral,0.769
TXT_08840,@user headlines are that Murray lose to an UNKNOWN Anderson. The guy is ranked 14th in the world.,Neutral,Negative,0.768
TXT_07285,not only should everyone be upset with frank ocean but adele too. she's just now releasing something in november after 4 years of waiting.,Neutral,Negative,0.766
TXT_00382,not only should everyone be upset with frank ocean but adele too. she's just now releasing something in november after 4 years of waiting.,Neutral,Negative,0.766
TXT_02893,"""Wow, walk off win for the Cubs.....Kris Bryant HR with 2 outs in the bottom of the 9th inning""",Positive,Neutral,0.764
TXT_06040,"""Oliseh pleased with home-based players after win in test game: Super Eagles coach, Sunday Oliseh, ... via @user",Positive,Neutral,0.762
TXT_05123,All my friends are going to the Sam Smith concert tomorrow and I got offered a ticket but ya girl ain't got $145 so I'm maddddd,Negative,Positive,0.76
TXT_08066,All my friends are going to the Sam Smith concert tomorrow and I got offered a ticket but ya girl ain't got $145 so I'm maddddd,Negative,Positive,0.76
TXT_06421,.@tonyortegamusic @user @user SCOTUS ruled that the 14th amendment applies to same sex marriage.,Neutral,Negative,0.76
TXT_08138,Heather to the rescue! Just agreed to do 4Sight at Oldham tomorrow :-) #4networking #oldham,Neutral,Positive,0.758
TXT_04257,@user please please cover #HR1599 on Sunday! I want to see @user take on Monsanto!!,Neutral,Positive,0.758
TXT_08835,Wouldn't it be an irony if Yakub's hanging goes ahead as planned tomorrow coinciding with Kalam's funeral? Just asking! @user,Neutral,Negative,0.755
TXT_08985,@user Is it a gaffe? Rick Perry may be on military time.,Neutral,Negative,0.754
TXT_06092,I have an extra ticket to a Sam smith concert tomorrow at 8. Anyone wanna go with me????,Positive,Neutral,0.754
TXT_00058,"dj khaled // hold you down ft. chris brown, august alsina, future, jeremih",Neutral,Positive,0.753
TXT_06198,"""Rasheed Wallace said he\u2019s ready to play \""""30 minutes if needed\"""" in tomorrow\u2019s home opener at MSG against the Heat.""",Positive,Neutral,0.751
TXT_05147,@user u ok with the poster for tomorrow?  tea will be provided for you.. can you get to the cafe for about 6pm to sound check? Rosie x,Positive,Neutral,0.751
TXT_01396,@user u ok with the poster for tomorrow?  tea will be provided for you.. can you get to the cafe for about 6pm to sound check? Rosie x,Positive,Neutral,0.751
TXT_01882,@user @user nirvana may be the face of grunge but they didn't create it. Df may have many hands in but they aint 90% responsible,Neutral,Negative,0.749
TXT_08597,The crisis b/w Turkey &amp; Russia may be the proximate cause for Ankara for renewal of ties with Israel @user,Neutral,Negative,0.748
TXT_00467,@user @user it may have have gotten a higher score never denied that fact....but Nicki's album is STILL critically acclaimed. Lol,Positive,Negative,0.748
TXT_00701,Here's what a Charlie Hebdo cartoonist drew after the 2nd Paris attack in less than a year... @user,Neutral,Negative,0.747
TXT_03824,Former Gov. Rick Perry said Wednesday financial woes won't be the death knell for his second bid for the White House:,Positive,Neutral,0.746
TXT_05922,@user I get in around noon!!! And I\u2019m coming to PCA all day Friday :) #alumnireturning,Neutral,Positive,0.743
TXT_03861,Just remember Michelle Obama told Barack Obama she may not vote for him for senate just because she didn't want him in politics.,Neutral,Negative,0.743
TXT_07060,"@user Jay Bruce on the first pitch from Tim Byrdak in the bottom of the 9th September 28, 2010 vs. Astros to win 3-2!""",Positive,Neutral,0.743
TXT_06273,49ersParadise HOP: Pick your poison: Eliminating Vernon Davis comes with a price [BEE-BLOG]: Mon\u002c 29 Oct 2012 8:...,Negative,Neutral,0.742
TXT_08068,"""Determined to share the Gospel with many Christians on Sept 30.  This is #GoEverywhere 2015.  On Sept 30, the...",Positive,Neutral,0.742
TXT_07956,Today is National Bratwurst Day. Also another Recall Election day in Wisconsin. GET OUT THE BRAT! I mean VOTE! #WI #holiday #vote,Neutral,Positive,0.742
TXT_08795,Coaches like Gonzaga\u2019s chances - Mon\u002c 29 Oct 2012 PST: Don\u2019t count the Zags out after their run of WCC basketball...,Positive,Neutral,0.742
TXT_08956,"""There can be no tolerance of those who question the dignity of other people."" - Angela Merkel stood up to be counted",Neutral,Negative,0.741
TXT_08059,Anderson Silva better fuck up Yushin Okami tonight.,Positive,Negative,0.738
TXT_06142,Anderson Silva better fuck up Yushin Okami tonight.,Positive,Negative,0.738
TXT_01774,iPhone 6S launches tomorrow. As does the Mahindra TUV300. Too tired to care. All the best #kthxbye,Neutral,Positive,0.738
TXT_01691,Racist Mad Libs: Islam is _______ with _____,Neutral,Negative,0.736
TXT_04415,Crappity-crap! I'm always away when he comes to town! Paul McCartney to play ACC on Oct. 17,Negative,Positive,0.736
TXT_03788,@user I may have missed it if u posted it but what's ur take on #KimDavis situation &amp; @user claims about SCOTUS ruling,Positive,Negative,0.736
TXT_08978,@user I may have missed it if u posted it but what's ur take on #KimDavis situation &amp; @user claims about SCOTUS ruling,Positive,Negative,0.736
TXT_01240,Crappity-crap! I'm always away when he comes to town! Paul McCartney to play ACC on Oct. 17,Negative,Positive,0.736
TXT_08041,"""With the federal budget deal signed into law, people 70+ may be able to make large charitable gifts from an IRA.",Neutral,Negative,0.735
TXT_04230,@user @user Does practice of ALMAJIRI in d north make it ISLAMIC. MUSLIMS may at times not practice ISLAM,Neutral,Negative,0.733
TXT_04315,#HelloKarachi #EidMubarak Which #Food would you prefer to eat on Eid 3rd Day?,Neutral,Positive,0.733
TXT_02135,"""Want a copy of Book Of Souls the new IRON MAIDEN CD on release on Sep 4th! To enter, follow us + RT! @user",Neutral,Positive,0.732
TXT_08998,"""Want a copy of Book Of Souls the new IRON MAIDEN CD on release on Sep 4th! To enter, follow us + RT! @user",Neutral,Positive,0.732
TXT_07107,""":""""Scott Walker 14th Amendment Days after saying he wanted to end birthright citizenship, the Wisconsin governor says he doesn't."""" Flip-flop""",Neutral,Negative,0.731
TXT_01698,OK this is my pure speculation.  @user owns the cloud compute tech.  @user is utilizing the tech.  3rd party devs is open to use.,Neutral,Positive,0.731
TXT_04156,"""Hannibal"" may have ended but you can still express your love for your ""murder husband"" and Hannibal with this...",Neutral,Positive,0.731
TXT_08427,I think if I wake up one day and realize that I am not married to Frank Ocean I may lose my mind.,Neutral,Negative,0.729
TXT_06571,@user @user let's not forget that the original point of this discussion was bc Shawn believed the 2nd amendment to be....,Neutral,Negative,0.728
TXT_05239,I have to rewrite an essay for tomorrow and I have no motivation to do it and I'm just sitting with my head on my arm with David Bowie on,Neutral,Negative,0.727
TXT_01783,I feel like a kid waiting for christmas when it comes to bike parts I want. Please Kenda release your Honey Badger soon.http://t.co/0KZrV2nk,Neutral,Negative,0.725
TXT_04389,"some days I want to blast fleetwood Mac, some days I want to blast biggie and others blast taking back Sunday.",Neutral,Positive,0.725
TXT_01873,And with Serena's 11th ace she wins the match vs her sister Venus,Positive,Neutral,0.724
TXT_03080,"""Flying around the world for free sounds great, but this Rolling Stone profile may make you change your mind.",Neutral,Positive,0.724
TXT_05476,And with Serena's 11th ace she wins the match vs her sister Venus,Positive,Neutral,0.724
TXT_02741,@user 3 tickets all seated together on the halfway line for Arsenal v Hull tomorrow please DM me,Positive,Neutral,0.723
TXT_08867,"""The 20th anniversary PS4 controller looks really nice, but I barely play my PS4 so I don't want to waste any money. LOL""",Neutral,Negative,0.722
TXT_07068,"@user Hilarious. Give the doping convictions, the '99 Maillot Jaune devolves to the kid to who was 17th at the '99 Tour l'Avenir""",Negative,Neutral,0.722
TXT_03061,I know more about Islam than a lot of Muslims mate. And I've lived with Muslims and seen ISocs at universities.,Neutral,Negative,0.721
TXT_08306,"""The name Friday comes from Freya, the goddess of love and fertility. Freya had two black cats who were a gift from Thor, god of Thunder.""",Neutral,Positive,0.721
TXT_00925,Its been a hard days fishing  today my 1st fish a ruffe a good start I thought I'd been blessed by the pope!,Neutral,Positive,0.718
TXT_05726,Ryan Braun steals 2nd and he records his 4th 20/20 season of his career. #MILvsPIT,Positive,Neutral,0.718
TXT_02445,@user She may be my favorite Libertarian writer right now. Her response to the Planned Parenthood controversy was on POINT.,Positive,Negative,0.718
TXT_02084,"""Clocked in. PC on. Headphones in. Pearl Jam, Nirvana, David Bowie, Barry Manilow (Don't judge me) playlist on .. Right Monday bring it on""",Positive,Neutral,0.717
TXT_05870,"""All he said is that it was funny, and weren't you up Nicki's ass in July?",Neutral,Negative,0.716
TXT_07573,a bleeding threesome with Lady Gaga and Matt Bomer. It's so simple. C'mon.,Neutral,Positive,0.716
TXT_05560,No iPod until 10th grade began... Brother is still in elementary and succeeded in convincing dad he 'needs' one.,Neutral,Negative,0.715
TXT_06256,Thinking neighbors probably don\u2019t have work tomorrow. So\u002c it\u2019s cool if I turn up the Judas Priest and just rock out all night\u002c yeah?,Positive,Negative,0.714
TXT_05949,Dammn yung Tracy McGrady goin to play in China really wish injuries didnt slow him down was one the best in the @user my 2nd favorite player,Negative,Positive,0.714
TXT_05336,"""That """"Not afraid,"""" photo of Paris is from the reaction to the Charlie Hebdo attack in January. It is not tonight.""",Neutral,Negative,0.713
TXT_05805,"""That """"Not afraid,"""" photo of Paris is from the reaction to the Charlie Hebdo attack in January. It is not tonight.""",Neutral,Negative,0.713
TXT_06916,Why won\u2019t NBC\u002c CBS\u002c ABC and CNN cover the breaking news in the Benghazi story? Information came out last Tuesday\u002c...,Negative,Neutral,0.712
TXT_01411,Why won\u2019t NBC\u002c CBS\u002c ABC and CNN cover the breaking news in the Benghazi story? Information came out last Tuesday\u002c...,Negative,Neutral,0.712
TXT_08824,"""27 December 1997- Just hours after Billy Wrights death, the LVF retaliate by killing ex IRA prisoner Seamus Dillon",Neutral,Negative,0.71
TXT_06168,@user Why am I not surprised that you blame #MUFC for Real Madrid leaving DDG bid till the 11th hour?,Neutral,Negative,0.708
TXT_06853,Aus skipper Michael Clarke and fast bowler James Pattinson have been ruled out of Thursday's series- deciding final vs SL with injuries.,Negative,Neutral,0.706
TXT_00846,I have 2 passes for Looper in Pico Rivera on Thursday. Message or text me if you want them.,Positive,Neutral,0.706
TXT_07777,@user I mean can you blame her? I'd hide behind Beyonce too if I knew a 10-hit combo may or may not came my way.,Positive,Negative,0.705
TXT_02164,Saudi to raise petrol prices by up to 40%: Riyadh (AFP) - Saudi Arabia said Monday it was raising petrol price...,Negative,Neutral,0.704
TXT_04422,New Story: Norfolk woman dies in crash: A woman from northeast Nebraska died Saturday morning when the car she w...,Negative,Neutral,0.704
TXT_08699,"""David Bowie: """"Blackstar"""": There is a star in our universe called KIC 8462852 that may or may not be the hub of...",Positive,Neutral,0.704
TXT_04921,Jesus Shuttlesworth Heat Vs Lakers Ralph McQuarrie #top100femalelies Is Lamar Odom really going to the D League ?http://t.co/Mz75m6JH,Neutral,Negative,0.703
TXT_01939,omg the music video comes out tomorrow! Btw I still can\u2019t get over Harry\u2019s voice :\u2019),Negative,Positive,0.702
TXT_04853,"For sure just Missed my exit because was singing to Mariah Carey way too full out. Happy Friday, all.",Neutral,Positive,0.701
TXT_06497,If you want to put junk bonds into your IRA you may benefit from working with a financial advisor.. a human one :),Neutral,Positive,0.701
TXT_05088,"For sure just Missed my exit because was singing to Mariah Carey way too full out. Happy Friday, all.",Neutral,Positive,0.701
TXT_05760,@user  well they believed the sun when it talks shit about ZAYN but now the sun is the ultimate liar.,Neutral,Negative,0.7
TXT_06467,Aye yo add me on snapchat because im going to be snapchatting everything tomorrow at digi - nicoletrevino63,Positive,Neutral,0.697
TXT_00153,guys remember that tomorrow is the last day you can donate to Pennies for Polio!!,Neutral,Positive,0.697
TXT_07100,Did you know that 'Rahul Gandhi' was Trending Topic on Thursday 20 for 8 hours in Hyderabad? #trndnl,Positive,Neutral,0.697
TXT_05019,Just realized I don't miss you that much.  The sun is out. Nothing is better than today. I have reached nirvana. I think I need to pee.,Positive,Negative,0.696
TXT_03001,"""Following Trump, Scott Walker and Ted Cruz, said they support revoking 14th amendment rights for the children of immigrants.""",Neutral,Negative,0.695
TXT_08556,"""Coach Brian Kelly yelling """""""" hold the fucking ball"""""""" after 4th quarter touchdown by folston #ND""",Neutral,Negative,0.695
TXT_08151,Saying jumbo shrimp on the menu when it is CLEARLY not is just as offensive as homegirl from Friday saying she looked like Janet Jackson.,Neutral,Negative,0.695
TXT_05096,"""Kanye West married a Kardashian and now he thinks he's """"the man"""" and wants to rule the World as President?  I mean C'MON MAN!!""",Neutral,Negative,0.695
TXT_08319,ATTENTION DIRECTIONERS! Beliebers are posting this picture! Tomorrow we\u2019ll replay the video all day! #Jealousy! #Hate!,Negative,Positive,0.694
TXT_00418,"""Obama signed a law TODAY making gifts of up to $100,000 from an IRA tax-free again. If you want to give to the Foundation, call us Monday.""",Positive,Negative,0.691
TXT_07347,Sick of a Congress beholden to special interests? Voice your concerns at the FEC public forum on October 9th RSVP:,Negative,Neutral,0.691
TXT_05369,NO14 - DEN 34; Peyton and Eli may meet in the Super Bowl if both Denver and the New York Giants keep winning like they did Sunday,Positive,Neutral,0.69
TXT_04130,Might fuk with Greenville tomorrow night !!,Negative,Positive,0.688
TXT_00526,@user i am going to the london grand prix on the saturday next year! Might meet you there!!,Neutral,Positive,0.688
TXT_03839,A woman called Nicki a wee bitch and spat because she sat down in front of her on the 11,Neutral,Negative,0.688
TXT_03690,George Osborne will on Tuesday reject calls for the UK to take part in latest Greek bailout: FT,Negative,Neutral,0.688
TXT_05899,"BREAKING PROPHECY NEWS:  Today, I present to you the 2 Horns of the False Prophet. Yesterday Friday, Erdogan was...",Negative,Neutral,0.687
TXT_04215,"BREAKING PROPHECY NEWS:  Today, I present to you the 2 Horns of the False Prophet. Yesterday Friday, Erdogan was...",Negative,Neutral,0.687
TXT_08095,[EVENT] KPOP FUN RUN - AFTER PARTY September 5 | Quirino Grandstand Gates open at 4pm  Experience the OUTDOOR...,Positive,Neutral,0.687
TXT_07727,[EVENT] KPOP FUN RUN - AFTER PARTY September 5 | Quirino Grandstand Gates open at 4pm  Experience the OUTDOOR...,Positive,Neutral,0.687
TXT_01630,"""Carlo Ancelotti: Isco is a very important player. Tomorrow, James Rodriguez will start - he rested Wednesday.""",Neutral,Positive,0.687
TXT_06454,"@user @user Good morning, you two. Have you heard about Obama, the UN, and #Agenda21? He's a traitor.""",Negative,Positive,0.687
TXT_04784,School tomorrow is gonna be fired up HA! you got something to say bad about Nicki? Prepare your argument you're bout to get shut down,Neutral,Negative,0.686
TXT_03136,I got tomorrow off!! Woooop!! (@ Adrienne Arsht Center for the Performing Arts),Neutral,Positive,0.686
TXT_01937,Its done! My brother just got married...we turnin up at jett lounge tonight and at grannys house tomorrow,Neutral,Positive,0.686
TXT_01753,Our Tuesday TV pick is the grand finale of @user Styled To Rock - and they've got a RiRi challenge!,Neutral,Positive,0.685
TXT_01537,"@user come on, you know most white people know about Friday. It was the only movie that I wasn't scared of Ice Cube.""",Neutral,Negative,0.684
TXT_06619,Shows how little people paid attn to the Charlie Hebdo stuff 11mo ago when they're tweeting the pic of people in the streets from January.,Neutral,Negative,0.684
TXT_03303,"""Haven't had breakfast yet, but we have already spotted Chuck Norris at the 16th Ave Church #restoringunity #NeverAgainIsNow""",Positive,Neutral,0.683
TXT_01756,Scott Walker convinced Canadian wall will shade his bald spot from the hot northern sun.,Neutral,Negative,0.68
TXT_02661,".@RubenKihuen also didn't budge on backing Planned Parenthood, came out for boots on the ground to defeat ISIS. Back to 5:30 everywhere Fri.",Neutral,Negative,0.68
TXT_04694,"""Still yet unanswered, are the SATs still on for Saturday?""",Negative,Neutral,0.679
TXT_06102,John Kasich may end up blowing by Jeb Bush before this is all over. Has a lot of the things pure insiders (which I am not) like.,Negative,Neutral,0.678
TXT_06949,John Kasich may end up blowing by Jeb Bush before this is all over. Has a lot of the things pure insiders (which I am not) like.,Negative,Neutral,0.678
TXT_07844,John Kasich may end up blowing by Jeb Bush before this is all over. Has a lot of the things pure insiders (which I am not) like.,Negative,Neutral,0.678
TXT_02242,John Kasich may end up blowing by Jeb Bush before this is all over. Has a lot of the things pure insiders (which I am not) like.,Negative,Neutral,0.678
TXT_07134,"""Ed Sheeran s """"X"""" returns to the top of the World Album Charts for the 3rd time",Positive,Neutral,0.677
TXT_03818,"""#JohnKerry says #ISIS had a """"rationale"""" for the Charlie Hebdo killings in January (pic of Muhammad), but Friday night in Paris was different""",Negative,Neutral,0.677
TXT_04267,"""ONE Fighting Championship takes place October 6 at the Singapore Indoor Stadium, this is gonna be an incredible...",Positive,Neutral,0.676
TXT_08100,Im on that zan with that lean and nun but Irene today at band camp jus to laugh at these poo ass freshman snare drummers,Negative,Neutral,0.676
TXT_05341,uhh Oracle if there is no spoon what am I eating this 4th can of Spaghettios with?,Neutral,Negative,0.673
TXT_00249,uhh Oracle if there is no spoon what am I eating this 4th can of Spaghettios with?,Neutral,Negative,0.673
TXT_01954,This is why the Red Sox are last place in the division. Poor defence in this 10th inning @user,Negative,Neutral,0.672
TXT_06802,Innovation for jobs is just around the corner - to be exact next Wednesday 8/19 at @user,Positive,Neutral,0.672
TXT_07325,"ugh also i forgot hannibal is ending...i never kept up with it but i still feel pretty sad it was a damn good show, 1st season",Neutral,Negative,0.669
TXT_03826,I want to go watch Denzel\u2019s new movie tomorrow! Someone take meeeeeeeeeee.,Neutral,Positive,0.669
TXT_08476,Down to 2 at the final table. Merson and Sylvia. No shame for the kid Balsiger. 3rd place and $3.8 million is great for the 21 yr old.,Positive,Neutral,0.668
TXT_07833,Down to 2 at the final table. Merson and Sylvia. No shame for the kid Balsiger. 3rd place and $3.8 million is great for the 21 yr old.,Positive,Neutral,0.668
TXT_02003,T-4 hours. If you don't want to be inundated with Apple tweets... I'd unfollow me until tomorrow morning...,Neutral,Negative,0.666
TXT_03268,"@user those photos you're sharing of Parish with the """"Not Afraid"""" are pictures from back in January after the Charlie Hebdo attack""",Neutral,Negative,0.666
TXT_02596,Katy Perry was all smiles&amp;#160;when she&amp;#160;headed out for a Broadway show Wednesday night in New York City.&amp;#160; The singer wore a,Positive,Neutral,0.665
TXT_01252,I just stumbled across a video montage on some tv channel of clips of Camilla Parker Bowles set to Uptown Girl. So..that\u2019s my Saturday. You?,Neutral,Negative,0.663
TXT_06946,Nintendo releases new 3DS with new Animal Crossings bundle. #klgg #nintendo3ds #gaming,Positive,Neutral,0.661
TXT_08777,Hard to be excited about Eric church at wefest for the 3rd time in 5 years. Does literally no one else want to headline?!,Negative,Positive,0.66
TXT_02031,@user @user @user it may have not been the best idea to name our Mascot the Beaver...still better than Ducks,Neutral,Negative,0.659
TXT_07021,Signing flat papers today and then skating with my new Derby chickas tommorrow #nervousmuch!,Neutral,Positive,0.659
TXT_04495,Anyone down to pregame before the Obama speech tomorrow @user @user @user,Positive,Neutral,0.658
TXT_06792,"""Never mind TFI Friday, I wish he  would bloody end his Chris Evans &amp; His Celebrity Chums Chat Show on Radio 2.""",Negative,Positive,0.657
TXT_08464,Marijuana on a Thursday with a new episode of Naruto,Positive,Neutral,0.657
TXT_03215,@user @user @user One dude sat by his truck with Israel flags flying preaching from his Christian Bible. Really????,Neutral,Negative,0.655
TXT_06617,Gunna have a dank trim and maybe treat myself to a KFC tomorrow\u002c get me in the mood for the weekend...,Neutral,Positive,0.655
TXT_00813,"And @user Mail, Calendar, Music, and Video apps have been rewritten for the third time in four years...",Negative,Neutral,0.655
TXT_06144,"""Worth reading. Another troubling argument for why the publication of """"Watchman"""" may have been an act of elder abuse.",Neutral,Negative,0.655
TXT_01087,@user I don't know. She just recited Jay-Z to me. This may have yours beat for best reply.,Neutral,Positive,0.654
TXT_01860,"""#IWishICouldForget about my """"Katy Perry"""" headgear I had in 9th Grade :((  I do love my teeth now tho;)",Neutral,Positive,0.654
TXT_00567,February 13 is going to kill me @user @user @user thanks for skipping Indiana -.-,Negative,Neutral,0.653
TXT_06359,@user What a shame about Punchestown. Unlikely to race at all tomorrow. I had 2 out as well in Quevega and Lietenant (2 miler!!!),Negative,Neutral,0.653
